GeneID	CTR02A	CTR02B	CTR02C	CTR02D	CTR02E	CTR02F	CTR19A	CTR19B	CTR19C	CTR19D	CTR19F	CTR19H	HD17A	HD17B	HD17C	HD17E	HD17F	HD18A	HD18B	HD18C	HD18D	HD18F	HD20A	HD20C	HD20D	HD20E	HD20F	HD20G
WDR5B	1173	1055	978	1205	1147	870	344	162	197	309	619	695	561	657	524	928	587	677	575	591	611	674	252	207	210	278	654	824
LOC102723582	15	20	16	10	24	9	10	6	11	18	22	5	8	11	13	12	7	17	12	13	15	19	7	8	11	11	11	34
LOC107986122	24	20	14	13	11	11	12	6	5	10	29	26	21	25	19	27	22	10	43	15	15	17	5	10	1	3	9	19
KPNA1	11157	8959	7470	10429	8707	8196	2078	1166	1303	2032	4466	5824	6336	5898	5350	5924	4876	6497	5751	5442	7648	6085	2032	1450	1251	2445	5550	5585
LOC107984000	2	4	9	7	4	3	1	0	0	0	5	3	8	0	0	1	0	2	2	5	3	2	0	2	2	2	1	0
LOC105374071	0	18	4	6	6	3	1	5	4	8	9	4	9	1	3	4	6	1	6	4	7	0	7	4	3	12	0	10
PARP9	1460	2477	886	1177	1774	1593	375	370	655	1086	880	1422	1951	2115	2121	935	1403	1087	1052	978	2211	1688	1070	682	344	924	1432	1421
DTX3L	1361	2123	807	1016	1749	1524	326	352	617	844	696	1509	2573	2570	2278	1379	1850	1132	1122	1070	2415	1535	900	431	235	627	1543	955
PARP15	0	1	0	0	7	1	2	1	9	7	10	0	0	1	0	0	0	4	5	1	1	2	2	0	0	1	1	2
EIF4BP8	27	16	20	30	21	25	36	12	15	34	74	161	98	125	117	177	108	112	112	121	117	115	32	19	20	49	146	76
PARP14	1806	1915	820	1333	1676	1623	691	575	1103	1142	1634	1233	2650	2075	2381	765	1396	887	1113	765	2251	1505	1289	847	562	1390	1238	2290
HSPBAP1	598	408	419	503	459	347	203	217	154	161	525	205	272	276	255	296	273	349	315	290	323	374	162	168	223	289	269	1003
DIRC2	1768	1420	1222	1672	1448	1384	390	146	237	424	853	1059	1225	1117	867	963	806	1101	867	952	1366	1309	439	203	191	473	1011	955
LOC100129550	21	16	32	17	14	12	13	12	7	8	47	9	10	6	13	24	11	29	39	18	6	16	5	10	13	13	10	82
SEMA5B	4381	6135	6373	8771	6457	3886	1661	2502	2110	4737	6180	3911	2184	3742	3429	3987	2993	2317	3009	3315	4536	4158	4436	3700	4015	4888	6366	10832
PDIA5	1263	1507	542	827	2020	1840	295	300	499	461	508	781	1098	1133	1116	365	736	412	583	427	1328	1037	591	500	263	558	648	960
MIR7110	2	3	0	2	1	4	3	2	3	3	2	1	1	1	1	4	0	0	4	1	2	0	2	10	4	4	1	12
SEC22A	1678	1502	1665	1781	1439	1187	401	284	277	417	766	1191	888	838	821	1354	892	1502	1389	1163	993	1061	281	219	252	356	1012	1218
ADCY5	802	890	1405	1521	648	464	446	163	125	355	1043	658	340	180	380	900	406	862	646	877	308	603	302	199	227	298	655	640
HACD2	5815	4559	3706	4690	3672	4435	781	485	704	1073	1806	2940	4677	5705	3100	3485	2502	2874	2520	2474	3369	3343	1031	712	446	1418	3432	1982
MYLK-AS1	94	87	62	72	65	52	40	16	20	30	63	44	33	53	18	40	37	27	48	38	42	39	11	21	17	33	32	81
MYLK	1900	2762	537	813	882	3150	408	533	669	487	976	878	3376	4483	1788	197	891	571	613	400	2256	2083	697	342	82	690	449	300
MYLK-AS2	4	12	9	11	6	4	4	0	0	1	5	2	5	4	3	5	0	5	1	2	1	2	2	4	1	3	3	13
LOC105369194	87	175	223	265	129	69	39	30	15	26	120	92	35	65	54	64	29	47	102	72	30	43	30	31	38	45	59	250
CCDC14	1896	3503	1985	2284	2071	1469	4718	5458	3939	5666	10661	1697	1381	1346	1941	3026	2042	3613	5324	3002	2035	2771	3860	5142	4408	6406	2102	21094
ROPN1	0	3	0	2	1	0	2	1	1	0	4	1	15	4	11	12	6	2	1	2	2	0	0	0	0	1	0	0
KALRN	1870	3446	1950	2902	3511	1426	1362	1216	1001	2344	2839	1961	983	1279	2252	5670	3139	8105	3982	5769	2366	3969	2205	1319	2404	2660	4555	9191
MIR5002	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	1	1	2	0	0	0	0	1	0
RPL7P15	7	5	3	5	10	2	1	0	2	2	10	5	2	1	1	5	4	4	7	4	1	4	0	1	0	7	3	6
LOC105374077	0	0	0	0	1	0	1	0	0	0	6	0	0	1	1	0	2	4	11	8	5	3	0	0	0	1	3	12
MIR6083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0	0	2
LOC107986123	0	0	0	1	0	1	1	0	0	1	4	0	0	0	0	3	0	3	12	4	3	5	0	1	0	2	1	4
LOC105374076	0	0	1	1	0	0	1	4	0	1	9	0	0	0	1	0	4	1	1	4	2	2	0	0	0	3	3	1
UMPS	2721	2134	2071	2496	2268	2232	447	319	372	651	1112	1303	1451	1552	1378	1740	1457	1644	1351	1346	1652	1619	532	437	350	634	1657	1239
MIR544B	0	0	0	1	0	1	1	1	0	2	5	0	0	0	6	0	1	2	1	0	2	1	0	0	0	0	0	8
ITGB5	10370	7067	3579	5528	7080	11335	1229	858	1659	795	1860	1657	10786	7764	4037	928	1994	1697	1161	1106	4740	3503	1739	1036	192	1355	1248	585
MUC13	0	2	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	3	3	2	1	0	3	1	4	0	2	9
HEG1	3243	6229	1747	2877	7464	5182	606	1105	1431	1906	869	2775	4393	6703	5103	3691	4378	3951	3525	3623	6830	6420	2911	1422	1008	2333	4992	3346
SLC12A8	97	94	60	70	69	93	17	34	46	59	86	47	117	120	89	122	60	81	41	90	135	81	73	39	57	76	69	185
LOC105374079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
MIR5092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF148	5356	6277	4836	5947	4998	4185	1043	558	697	1456	2302	4233	2983	4077	4299	7251	4641	6407	4637	4821	4203	4944	1280	790	738	1351	4433	3478
LOC105374080	1	2	1	0	3	1	0	0	1	0	0	0	0	0	1	0	0	1	0	2	1	1	0	0	1	0	0	2
LOC105374081	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	3
SNX4	5084	4219	3935	4671	4473	3990	891	522	577	1184	1996	2497	2351	2866	2411	4263	2977	4161	2912	2780	2608	3111	921	638	754	1100	3272	3417
OSBPL11	3497	3202	2196	3249	3731	3213	559	357	376	781	1222	1912	1792	2514	2078	2030	1808	1872	1821	1577	2354	2620	765	450	367	916	1994	1337
LOC105374312	62	41	27	55	58	71	12	6	4	10	30	18	7	31	7	16	6	9	25	12	20	28	15	4	19	9	17	11
MIR548I1	0	0	0	0	1	0	0	1	0	1	4	1	1	0	0	0	0	0	1	2	0	0	0	4	0	0	0	2
RPS3AP14	1	0	0	1	0	0	2	1	7	0	8	10	1	5	6	7	7	2	16	4	5	4	5	1	1	0	3	12
LOC101927056	7	17	3	8	5	12	7	13	14	13	42	9	6	5	2	7	4	5	21	12	7	14	4	3	8	12	5	49
LOC102723696	2	16	6	13	11	12	11	4	15	8	47	14	9	9	2	9	7	4	23	18	20	16	13	18	9	23	5	23
FAM86JP	132	166	96	146	138	142	7	13	11	10	49	36	57	57	28	49	37	25	29	34	46	65	19	10	18	24	52	28
ALG1L	26	41	31	31	46	32	19	6	8	18	69	23	19	21	14	33	10	22	48	27	28	33	19	6	16	14	21	61
ROPN1B	6	2	6	3	11	5	2	4	0	4	14	1	7	25	4	19	31	7	4	4	1	1	4	0	1	5	3	18
SLC41A3	4447	3808	3517	4321	3484	3749	692	515	530	789	1537	1865	1860	1539	1318	2023	1465	1491	1662	1697	1655	1737	672	430	503	726	1646	1498
LOC107983957	35	29	49	46	26	32	14	7	19	8	29	19	7	17	7	23	12	20	9	7	29	29	6	9	4	14	23	19
LOC105374085	2	6	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	3	1	0
ALDH1L1	158	34	67	118	96	77	75	72	89	55	202	232	50	158	83	51	84	92	136	138	299	253	53	21	14	131	142	54
ALDH1L1-AS1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC105374083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ALDH1L1-AS2	2	0	2	4	0	5	0	2	2	1	8	4	0	2	1	0	1	0	1	3	6	0	2	0	6	0	2	0
LOC105374086	12	18	7	22	19	19	2	1	3	2	7	6	6	4	7	13	10	7	0	5	8	8	3	0	5	0	9	3
LOC107986124	10	24	15	20	5	16	3	0	1	1	20	4	4	8	3	6	10	20	8	9	9	9	3	0	1	5	4	19
KLF15	359	245	155	306	307	278	93	99	61	87	161	120	138	129	116	112	106	91	125	136	224	174	98	44	28	115	187	127
LOC105374088	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LOC107986044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC37-AS1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0
CFAP100	26	43	7	18	38	17	34	8	24	21	75	7	3	6	4	3	12	5	6	7	6	18	20	30	18	23	6	39
LOC105374089	7	3	1	0	6	0	4	13	1	5	19	3	0	1	0	1	3	12	2	3	5	6	4	3	3	4	3	9
ZXDC	2926	2912	2741	3216	3012	2373	810	606	674	1020	1804	1618	1423	1449	1359	2306	1841	1984	1774	1892	1705	1792	996	733	741	1072	2116	2365
UROC1	1	2	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	2	0	1	3	0	2
CHST13	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	0	1	1	0	1	2	0
C3orf22	0	0	0	1	1	0	0	4	0	0	6	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	2	2
LOC105374090	5	14	5	9	9	5	3	0	2	1	13	8	13	8	3	2	6	13	3	3	8	8	3	1	1	3	3	1
TXNRD3NB	0	3	0	2	1	0	4	1	1	0	3	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
TXNRD3	261	247	164	193	245	328	74	53	59	68	182	172	156	204	127	106	123	164	135	146	221	198	54	37	24	74	155	105
LOC100419878	8	11	15	8	6	4	4	3	0	2	14	7	4	0	8	9	8	11	8	5	7	6	2	0	4	3	1	8
NUP210P1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
LOC645852	3	2	1	0	5	3	5	3	3	5	7	8	4	11	5	15	9	10	2	4	11	7	1	5	4	4	16	12
CHCHD6	1393	1191	1127	1378	952	1084	213	148	181	221	449	519	437	501	296	521	386	392	473	430	494	479	145	154	88	148	540	214
PLXNA1	7546	6141	4530	6068	6411	7856	2330	1584	1734	2350	3645	2487	3667	3031	1747	1660	1996	1944	1626	2178	3263	2426	2612	1505	864	1870	3158	1964
C3orf56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101060159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927123	1	1	1	1	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374094	1	0	2	2	1	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01471	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986125	0	1	2	2	1	1	0	0	0	1	2	1	1	0	1	0	0	2	1	3	0	0	1	0	1	0	2	0
TPRA1	1791	1439	1341	1628	1447	1511	365	392	401	464	736	598	712	756	569	582	542	445	455	558	872	626	354	323	276	384	669	680
MIR6825	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
MIR7976	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	3
MCM2	4126	4111	2581	3476	4116	4795	464	403	506	1867	976	2718	2402	3795	2818	4425	3380	3367	1768	2910	3469	2745	1150	724	671	1008	4722	1553
LOC107986126	20	9	25	33	23	11	8	7	4	9	21	10	8	6	7	9	9	11	3	17	2	10	10	8	4	11	9	16
PODXL2	9441	8661	11471	13119	10169	6206	2062	694	679	1586	3440	4255	3936	2570	2641	4684	3010	3731	2753	3935	2292	4238	1399	904	1027	1168	4627	2759
ABTB1	345	512	426	444	403	358	102	173	148	159	263	169	144	170	167	185	156	113	115	142	227	233	227	246	214	303	249	504
MGLL	1067	1791	1688	1993	1208	1009	69	67	142	132	568	465	767	395	760	685	393	449	228	293	697	770	295	164	110	309	495	210
LOC107986127	3	2	4	1	1	0	0	1	4	1	6	1	4	1	6	2	6	0	0	2	2	6	1	6	3	4	3	9
LOC107986128	0	0	0	0	1	2	0	0	0	0	9	0	0	0	1	1	0	2	0	0	2	2	0	0	8	3	0	0
LOC107986129	6	11	10	15	4	5	11	0	2	4	27	7	5	7	4	5	3	2	5	7	5	5	3	3	7	10	9	11
LOC105374096	0	0	0	4	2	0	0	0	0	0	2	0	0	0	0	0	0	3	0	1	0	2	1	0	0	0	0	4
KBTBD12	0	3	2	4	4	1	3	4	0	5	7	1	1	0	0	4	0	2	3	1	2	4	1	2	3	2	1	5
LOC102723759	3	2	5	3	1	2	5	2	0	2	7	1	3	0	0	6	3	1	6	7	1	4	2	1	2	1	1	2
SEC61A1	33279	28143	20756	26305	28716	34553	3748	2696	3561	4723	7645	10356	23444	17533	12607	12027	10892	12775	7642	10031	16856	16802	5581	2874	2223	5219	12022	6204
RUVBL1	5208	4992	3671	4383	4647	4002	701	540	786	1185	1264	2522	2222	2774	2382	3565	2733	2823	2715	2397	3174	2860	898	785	609	1032	3592	1688
RNU2-37P	0	1	1	1	1	1	0	0	0	1	1	2	0	0	1	0	0	0	2	1	0	1	0	0	0	0	1	0
RUVBL1-AS1	1	3	2	0	3	3	0	0	0	1	5	1	2	0	0	0	1	7	3	4	1	2	1	3	1	1	0	7
EEFSEC	1566	1355	1292	1410	1217	1250	270	181	168	310	457	721	635	633	479	859	577	596	502	633	777	689	251	186	187	223	815	513
DNAJB8	0	0	0	0	0	1	0	0	1	1	2	0	0	0	2	0	0	4	0	0	0	0	0	0	2	0	0	0
DNAJB8-AS1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GATA2	148	90	84	44	66	195	126	24	8	3	50	7	84	8	8	4	6	21	56	39	70	5	15	10	1	7	10	4
GATA2-AS1	0	5	0	3	5	8	1	0	0	1	4	0	8	0	4	0	2	4	2	4	13	0	4	1	1	0	2	4
LOC90246	4	5	1	0	2	10	6	4	1	5	7	1	3	0	1	3	1	5	8	3	9	0	1	0	2	2	1	2
TMED10P2	2	5	2	3	4	15	0	3	1	0	0	3	1	0	1	1	2	8	10	3	10	2	2	2	1	0	2	3
LINC01565	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	2	0	0	0
RPN1	17741	13265	10188	12749	12639	15116	1827	1481	1894	2503	3874	6414	12124	10108	6945	8247	6472	7261	6762	6674	9227	7558	2539	1434	1082	2294	7072	3491
RAB7A	19291	16271	14028	18626	15793	16115	3444	1601	2334	3276	6797	7330	9003	9460	6505	8909	6885	8079	6736	7096	9368	8383	2675	1896	1452	3226	8054	4815
FTH1P4	4	6	3	5	4	3	3	4	2	2	12	10	20	17	5	8	12	10	13	15	17	15	3	2	2	2	16	3
RPS15AP16	3	3	1	0	2	1	2	1	1	5	14	0	6	1	5	0	0	1	4	2	3	5	2	2	6	2	0	4
LOC653712	75	64	72	74	74	49	44	38	31	36	105	45	33	44	26	58	57	38	38	65	47	36	30	29	18	56	60	77
ACAD9	1867	1657	1238	1533	1471	1582	337	344	317	523	789	767	841	1003	793	916	735	842	642	712	1040	815	481	383	276	556	1117	967
KIAA1257	82	85	33	60	76	53	29	44	36	47	95	64	30	50	44	44	38	19	63	64	80	58	39	47	25	48	75	72
EFCC1	198	91	53	129	171	141	41	73	80	65	138	57	47	49	33	26	57	10	71	62	73	65	31	39	16	77	95	33
GP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISY1-RAB43	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB43	23	34	11	21	24	52	14	2	7	16	3	11	14	16	5	4	5	4	4	5	16	12	13	6	1	4	20	0
ISY1	650	804	514	690	710	595	154	128	175	202	340	363	271	354	315	442	358	386	402	309	386	315	162	153	182	176	434	484
CNBP	20279	19592	18241	20062	17955	16327	3493	2042	2597	4097	6369	11834	8076	10535	9215	14688	10912	10171	12353	9513	11139	9330	3082	2637	2609	3517	13558	9555
LOC105374101	24	30	25	25	27	21	5	6	2	7	23	15	12	9	12	16	8	12	16	16	9	17	2	1	2	8	15	8
RPS27P12	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
COPG1	11695	10077	7820	9730	9782	10428	1561	1198	1596	2368	3629	4058	6366	5949	4536	5748	4459	5753	3744	4628	5920	5214	2335	1347	1163	2303	5306	3633
MIR6826	0	0	2	0	0	0	1	0	0	0	2	0	1	0	0	0	1	0	0	1	0	1	2	0	2	2	0	0
HMCES	2821	2543	2112	2505	2156	2306	441	315	430	614	904	1291	1148	1267	1115	1944	1277	1258	1487	1414	1502	1145	552	397	317	657	1823	1124
H1FX	16945	15641	16294	17152	13327	10674	2574	1447	1791	4441	2811	7534	3037	5204	4506	11500	6308	6506	7597	7643	6292	5587	2440	2367	2420	1617	13934	4133
H1FX-AS1	189	160	147	168	207	137	178	216	138	91	303	53	47	86	30	91	60	47	95	76	83	41	63	137	87	159	104	289
RPL32P3	205	257	221	322	251	175	180	112	125	161	365	134	58	67	59	153	95	129	109	99	84	115	173	105	148	171	154	466
SNORA7B	5	2	1	6	3	1	4	3	1	3	11	0	2	2	7	0	3	1	2	2	4	4	5	1	3	7	2	13
EFCAB12	129	116	14	86	140	120	53	38	40	27	107	11	31	47	17	12	32	6	24	23	40	45	13	27	10	29	27	19
MBD4	1484	1434	1109	1289	1178	1108	534	395	537	706	1161	900	744	913	828	1260	879	1017	1161	908	885	890	555	488	393	728	978	2082
IFT122	3578	3251	2224	3024	3102	2941	559	558	607	840	1260	1411	1262	1406	1283	1889	1459	1399	1323	1317	1612	1397	676	626	518	861	1861	1351
RHO	0	1	3	10	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	1	2	2	0	0
H1FOO	2	1	0	0	1	15	0	3	1	0	2	0	1	12	3	1	0	1	5	1	4	0	0	4	0	0	1	0
PLXND1	2092	2551	685	1262	1733	4075	411	516	997	805	811	953	2927	3179	2106	605	885	564	897	614	2008	777	1416	866	328	853	1253	888
RN7SL752P	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TMCC1	6676	5210	6177	7825	5724	4103	1793	737	954	2303	3981	3805	3118	3882	3310	3832	3939	3185	2699	2953	3473	3586	1753	1242	700	1483	3080	2714
RNY3P13	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	4
TMCC1-AS1	196	137	209	220	131	88	104	64	63	93	219	183	102	97	97	110	101	89	93	97	128	85	45	54	38	58	117	216
TRH	911	1699	533	300	422	362	3	3	11	5	3	72	26	15	48	146	69	23	432	108	4	5	12	80	8	1	165	3
LOC107986130	13	15	8	3	5	13	2	1	0	1	5	5	0	3	0	1	2	0	0	0	1	3	1	0	0	7	1	9
ALG1L2	2	2	0	1	0	0	2	0	2	0	5	2	1	0	0	1	0	0	0	1	0	0	1	0	1	2	1	1
LOC105374105	10	23	5	12	14	12	39	25	24	33	80	5	14	15	11	4	10	6	17	13	14	17	25	24	16	24	14	57
FAM86HP	59	91	44	46	97	75	23	11	31	36	60	33	49	40	30	57	26	29	30	28	35	47	9	8	14	14	22	32
LOC105374104	25	44	26	36	38	28	12	7	11	19	32	12	24	27	18	21	14	9	15	13	30	28	6	11	10	11	0	36
LOC105374103	0	1	0	1	0	0	0	0	2	1	14	1	0	0	3	0	1	1	0	2	1	1	0	0	0	0	0	4
LOC107986131	38	46	39	26	35	24	2	5	6	7	11	10	10	16	12	12	14	6	7	4	12	10	0	0	1	1	0	2
LOC107986133	0	2	0	0	0	0	0	0	0	1	5	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
LOC107986134	3	6	2	11	2	2	1	0	0	0	5	0	3	2	6	1	0	1	2	2	0	3	0	0	0	0	0	2
LOC107986132	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL6A4P2	3	10	4	6	4	2	19	20	12	16	43	2	4	0	3	1	0	0	0	0	4	2	1	0	0	0	0	0
LOC105374106	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC100507083	0	0	0	1	0	0	0	0	1	0	0	0	2	1	0	2	3	1	1	0	1	2	1	0	0	1	1	1
COL6A5	0	1	1	0	2	1	0	2	4	1	0	0	3	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0
COL6A6	10	44	22	14	43	73	5	7	1	4	9	10	35	1	3	5	5	8	16	13	8	3	10	4	3	6	1	10
PIK3R4	2529	2333	1901	2391	2182	2008	472	293	354	646	923	1519	1587	1776	1615	1785	1512	1823	1294	1372	1814	1688	634	361	379	651	1485	1437
LOC107986023	5	4	2	3	4	0	3	4	0	2	1	2	0	1	1	0	2	1	3	2	0	2	2	0	2	3	3	0
LOC105374107	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GSTO3P	1	0	0	1	0	0	0	0	1	1	0	4	1	0	2	4	3	4	3	4	2	2	0	0	1	0	5	0
LOC105374108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP2C1	10784	9437	9680	11473	8654	7664	2755	1270	1404	2356	5390	5444	6924	5641	5230	7049	4595	6996	5145	5539	5118	5974	2214	1432	1356	2572	5481	5925
LOC100420832	13	7	3	8	11	19	5	4	23	8	14	40	69	97	44	58	67	26	51	32	56	57	2	8	2	6	43	43
ASTE1	232	255	169	216	234	235	88	120	104	117	232	212	209	117	135	199	146	329	223	247	207	337	108	58	48	163	168	203
NEK11	369	325	82	275	431	382	119	36	99	97	295	122	195	136	164	62	139	166	130	92	218	466	100	35	12	169	104	66
LOC107986024	0	0	2	0	1	0	0	0	2	0	2	0	2	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0
LOC339874	1	3	4	4	7	1	3	7	0	4	18	3	0	1	1	3	0	8	2	8	2	2	1	4	3	10	2	22
NUDT16P1	0	2	3	2	4	0	6	3	19	3	31	0	4	0	0	2	0	0	4	3	2	2	3	5	7	18	1	39
NUDT16	2264	1876	1517	2220	2077	1840	788	504	619	858	1769	1095	1270	1307	883	1079	998	1055	1200	971	1611	1388	774	629	531	840	1553	1816
LOC107986025	0	1	1	1	3	0	0	4	6	1	7	0	0	1	0	1	0	0	12	3	0	2	0	0	7	1	0	18
LOC105374110	0	2	0	2	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	2
MRPL3	5635	4498	4524	4929	4042	4173	855	574	647	833	1693	2667	2896	3310	2172	2954	2509	2618	2887	2406	3027	2667	737	561	455	736	2974	1629
SNORA58	1	1	0	1	3	0	0	0	0	0	1	1	0	0	0	2	2	3	4	0	3	1	0	0	0	1	1	0
LOC105374114	11	3	5	11	4	5	1	0	4	3	3	3	7	3	2	2	4	4	2	4	3	6	0	0	0	0	2	6
BCL2L12P1	3	1	0	0	0	2	0	1	1	3	3	0	3	2	3	1	0	1	1	1	2	0	0	0	0	0	2	1
CPNE4	2090	1791	394	967	3245	2472	153	147	285	308	540	461	1099	2810	664	586	637	156	281	250	1055	1399	113	47	7	157	211	31
LOC105374113	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0
MIR5704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374111	0	1	0	0	1	1	0	0	2	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC729674	27	28	9	23	21	20	7	17	10	18	27	30	57	61	47	63	41	47	26	38	56	49	7	9	9	9	49	40
TRC-GCA6-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRC-GCA9-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL7P16	1	0	0	0	0	2	1	0	1	1	1	3	1	0	4	3	2	2	2	3	1	1	1	0	0	0	6	1
ACPP	41	43	4	7	18	52	4	10	24	1	6	4	36	3	12	2	10	16	17	3	10	0	6	7	0	0	8	0
LOC100130550	18	15	27	39	6	14	5	0	6	7	4	24	9	7	5	25	14	20	15	8	9	10	2	4	3	2	13	26
DNAJC13	4188	3496	2889	3928	3389	3613	1248	865	1051	1756	2729	2065	3458	2990	2736	2739	2594	3656	2014	2211	3062	2548	1592	949	1035	1963	2540	4279
NPHP3-ACAD11	2	0	1	0	2	1	5	2	0	2	7	2	0	0	0	0	0	1	0	1	0	0	6	3	3	0	0	7
ACAD11	9	13	8	7	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACKR4	8	27	7	10	19	28	5	9	4	11	23	7	26	1	7	9	5	18	14	12	12	3	5	2	5	13	3	16
UBA5	3018	3350	2522	3236	2899	2485	1513	955	943	1295	2902	1605	1491	1608	1629	2141	1716	2342	2219	1847	1985	2068	1218	1079	865	1385	2022	4331
NPHP3	124	155	109	171	126	183	156	198	134	162	363	109	126	109	89	92	111	120	114	107	127	109	151	190	175	224	109	896
NPHP3-AS1	5	2	1	4	5	2	0	0	0	0	0	0	0	4	1	1	2	2	0	0	1	0	1	1	0	0	1	3
LOC105374115	0	0	0	1	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
TMEM108	1129	957	1563	2800	882	854	183	87	110	71	981	304	485	961	317	661	334	288	216	244	200	292	95	82	13	87	280	70
TMEM108-AS1	0	0	0	0	0	0	0	0	0	1	3	1	0	3	0	0	3	0	8	1	0	3	0	0	0	1	0	0
LOC101927432	4	21	13	20	17	4	8	4	15	8	99	2	9	15	5	4	3	6	17	10	6	3	3	10	2	9	1	6
BFSP2	9	11	13	12	6	2	1	0	0	1	9	2	2	3	1	6	1	5	3	7	0	5	0	0	2	1	2	1
BFSP2-AS1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
CDV3	11835	9273	8925	11458	9937	9369	2452	1117	1566	2040	5125	5513	6197	6795	4800	6626	5615	5540	5425	4666	5916	5104	1823	1335	1304	1951	5860	4922
